start_date,end_date,the_group,state,condition_group,the_condition,age_group,covid_deaths,number_of_mentions
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Chronic lower respiratory diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Chronic lower respiratory diseases","All Ages",3376,3552
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome",0-24,15,15
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome",25-34,23,23
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome",35-44,80,80
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome",45-54,206,206
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome",55-64,468,468
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome",65-74,578,578
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome",75-84,448,448
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome",85+,183,183
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Adult respiratory distress syndrome","All Ages",2001,2001
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure",0-24,20,21
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure",25-34,64,68
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure",35-44,212,221
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure",45-54,554,573
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure",55-64,1545,1617
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure",65-74,2711,2889
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure",75-84,3184,3411
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure",85+,2490,2638
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory failure","All Ages",10781,11439
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory arrest",45-54,18,18
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory arrest",55-64,51,51
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory arrest",65-74,93,93
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory arrest",75-84,103,103
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory arrest",85+,128,128
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Respiratory arrest","All Ages",399,399
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system",25-34,16,18
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system",35-44,36,36
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system",45-54,122,136
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system",55-64,276,298
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system",65-74,447,484
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system",75-84,491,530
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system",85+,403,413
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Respiratory diseases","Other diseases of the respiratory system","All Ages",1799,1923
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases",25-34,11,11
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases",35-44,62,62
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases",45-54,177,179
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases",55-64,507,511
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases",65-74,923,935
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases",75-84,1251,1259
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases",85+,1663,1699
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Hypertensive diseases","All Ages",4595,4657
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease",0-24,0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease",35-44,22,23
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease",45-54,81,84
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease",55-64,305,335
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease",65-74,756,814
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease",75-84,1056,1139
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease",85+,1020,1085
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Ischemic heart disease","All Ages",3245,3485
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest",0-24,11,11
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest",25-34,15,15
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest",35-44,42,42
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest",45-54,120,120
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest",55-64,275,275
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest",65-74,425,425
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest",75-84,382,382
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest",85+,272,274
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrest","All Ages",1542,1544
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrhythmia",35-44,20,21
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrhythmia",45-54,64,66
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrhythmia",55-64,232,245
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrhythmia",65-74,492,507
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrhythmia",75-84,818,841
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrhythmia",85+,958,980
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrhythmia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cardiac arrhythmia","All Ages",2594,2671
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Heart failure",35-44,18,18
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Heart failure",45-54,45,45
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Heart failure",55-64,184,184
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Heart failure",65-74,483,483
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Heart failure",75-84,793,795
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Heart failure",85+,1045,1047
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Heart failure","All Ages",2576,2580
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases",0-24,0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases",35-44,16,18
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases",45-54,60,64
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases",55-64,150,160
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases",65-74,339,356
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases",75-84,469,489
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases",85+,520,550
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Cerebrovascular diseases","All Ages",1560,1644
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system",0-24,19,21
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system",25-34,26,28
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system",35-44,50,63
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system",45-54,152,172
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system",55-64,341,381
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system",65-74,554,620
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system",75-84,611,668
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system",85+,606,657
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Circulatory diseases","Other diseases of the circulatory system","All Ages",2359,2610
2020-01-01,2023-09-23,"By Total",Indiana,Sepsis,Sepsis,25-34,20,20
2020-01-01,2023-09-23,"By Total",Indiana,Sepsis,Sepsis,35-44,64,64
2020-01-01,2023-09-23,"By Total",Indiana,Sepsis,Sepsis,45-54,182,182
2020-01-01,2023-09-23,"By Total",Indiana,Sepsis,Sepsis,55-64,467,467
2020-01-01,2023-09-23,"By Total",Indiana,Sepsis,Sepsis,65-74,722,724
2020-01-01,2023-09-23,"By Total",Indiana,Sepsis,Sepsis,75-84,697,697
2020-01-01,2023-09-23,"By Total",Indiana,Sepsis,Sepsis,85+,372,372
2020-01-01,2023-09-23,"By Total",Indiana,Sepsis,Sepsis,"All Ages",2532,2534
2020-01-01,2023-09-23,"By Total",Indiana,"Malignant neoplasms","Malignant neoplasms",35-44,16,25
2020-01-01,2023-09-23,"By Total",Indiana,"Malignant neoplasms","Malignant neoplasms",45-54,86,107
2020-01-01,2023-09-23,"By Total",Indiana,"Malignant neoplasms","Malignant neoplasms",55-64,279,358
2020-01-01,2023-09-23,"By Total",Indiana,"Malignant neoplasms","Malignant neoplasms",65-74,523,646
2020-01-01,2023-09-23,"By Total",Indiana,"Malignant neoplasms","Malignant neoplasms",75-84,483,573
2020-01-01,2023-09-23,"By Total",Indiana,"Malignant neoplasms","Malignant neoplasms",85+,347,395
2020-01-01,2023-09-23,"By Total",Indiana,"Malignant neoplasms","Malignant neoplasms","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Malignant neoplasms","Malignant neoplasms","All Ages",1743,2119
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,25-34,18,18
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,35-44,69,70
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,45-54,226,228
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,55-64,590,594
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,65-74,1101,1110
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,75-84,1122,1126
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,85+,768,774
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,Diabetes,Diabetes,"All Ages",3900,3926
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,0-24,20,20
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,25-34,42,42
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,35-44,97,98
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,45-54,190,190
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,55-64,289,290
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,65-74,289,290
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,75-84,170,170
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,85+,28,28
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,Obesity,Obesity,"All Ages",1125,1128
2020-01-01,2023-09-23,"By Total",Indiana,"Alzheimer disease","Alzheimer disease",0-24,0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Alzheimer disease","Alzheimer disease",25-34,0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Alzheimer disease","Alzheimer disease",65-74,65,65
2020-01-01,2023-09-23,"By Total",Indiana,"Alzheimer disease","Alzheimer disease",75-84,302,303
2020-01-01,2023-09-23,"By Total",Indiana,"Alzheimer disease","Alzheimer disease",85+,619,620
2020-01-01,2023-09-23,"By Total",Indiana,"Alzheimer disease","Alzheimer disease","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Alzheimer disease","Alzheimer disease","All Ages",997,999
2020-01-01,2023-09-23,"By Total",Indiana,"Vascular and unspecified dementia","Vascular and unspecified dementia",0-24,0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Vascular and unspecified dementia","Vascular and unspecified dementia",25-34,0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Vascular and unspecified dementia","Vascular and unspecified dementia",35-44,0,0
2020-01-01,2023-09-23,"By Total",Indiana,"Vascular and unspecified dementia","Vascular and unspecified dementia",55-64,41,41
2020-01-01,2023-09-23,"By Total",Indiana,"Vascular and unspecified dementia","Vascular and unspecified dementia",65-74,259,262
2020-01-01,2023-09-23,"By Total",Indiana,"Vascular and unspecified dementia","Vascular and unspecified dementia",75-84,870,873
2020-01-01,2023-09-23,"By Total",Indiana,"Vascular and unspecified dementia","Vascular and unspecified dementia",85+,1637,1644
2020-01-01,2023-09-23,"By Total",Indiana,"Vascular and unspecified dementia","Vascular and unspecified dementia","All Ages",2811,2824
2020-01-01,2023-09-23,"By Total",Indiana,"Renal failure","Renal failure",25-34,23,23
2020-01-01,2023-09-23,"By Total",Indiana,"Renal failure","Renal failure",35-44,60,61
2020-01-01,2023-09-23,"By Total",Indiana,"Renal failure","Renal failure",45-54,193,196
2020-01-01,2023-09-23,"By Total",Indiana,"Renal failure","Renal failure",55-64,500,519
2020-01-01,2023-09-23,"By Total",Indiana,"Renal failure","Renal failure",65-74,875,922
2020-01-01,2023-09-23,"By Total",Indiana,"Renal failure","Renal failure",75-84,990,1072
2020-01-01,2023-09-23,"By Total",Indiana,"Renal failure","Renal failure",85+,835,913
2020-01-01,2023-09-23,"By Total",Indiana,"Renal failure","Renal failure","All Ages",3480,3710
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,0-24,108,108
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,25-34,206,206
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,35-44,515,515
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,45-54,1380,1380
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,55-64,3506,3506
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,65-74,6035,6035
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,75-84,7355,7355
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,85+,7790,7790
2020-01-01,2023-09-23,"By Total",Indiana,COVID-19,COVID-19,"All Ages",26896,26896
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia",25-34,22,23
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia",35-44,67,71
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia",45-54,190,200
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia",55-64,478,502
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia",65-74,832,867
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia",75-84,964,986
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia",85+,1128,1152
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Influenza and pneumonia","All Ages",3684,3804
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Chronic lower respiratory diseases",35-44,13,13
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Chronic lower respiratory diseases",45-54,35,36
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Chronic lower respiratory diseases",55-64,154,163
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Chronic lower respiratory diseases",65-74,275,292
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Chronic lower respiratory diseases",75-84,414,433
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Chronic lower respiratory diseases",85+,416,430
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Chronic lower respiratory diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Chronic lower respiratory diseases","All Ages",1312,1372
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome",25-34,14,14
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome",35-44,31,31
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome",45-54,87,87
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome",55-64,142,142
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome",65-74,219,219
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome",75-84,192,192
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome",85+,119,119
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Adult respiratory distress syndrome","All Ages",807,807
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure",25-34,19,19
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure",35-44,59,59
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure",45-54,199,209
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure",55-64,560,573
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure",65-74,996,1037
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure",75-84,1135,1183
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure",85+,1171,1211
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory failure","All Ages",4144,4297
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory arrest",0-24,0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory arrest",55-64,43,43
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory arrest",65-74,73,73
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory arrest",75-84,105,105
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory arrest",85+,164,164
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Respiratory arrest","All Ages",400,400
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Other diseases of the respiratory system",35-44,14,15
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Other diseases of the respiratory system",45-54,31,34
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Other diseases of the respiratory system",55-64,70,78
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Other diseases of the respiratory system",65-74,121,127
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Other diseases of the respiratory system",75-84,148,157
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Other diseases of the respiratory system",85+,166,173
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Other diseases of the respiratory system","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Respiratory diseases","Other diseases of the respiratory system","All Ages",556,590
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases",0-24,0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases",35-44,15,15
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases",45-54,60,60
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases",55-64,185,188
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases",65-74,283,284
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases",75-84,462,466
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases",85+,767,776
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Hypertensive diseases","All Ages",1775,1792
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Ischemic heart disease",0-24,0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Ischemic heart disease",45-54,47,53
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Ischemic heart disease",55-64,123,138
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Ischemic heart disease",65-74,229,251
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Ischemic heart disease",75-84,417,465
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Ischemic heart disease",85+,539,573
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Ischemic heart disease","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Ischemic heart disease","All Ages",1370,1496
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrest",35-44,25,25
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrest",45-54,59,59
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrest",55-64,126,126
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrest",65-74,178,178
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrest",75-84,217,217
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrest",85+,217,217
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrest","All Ages",831,831
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrhythmia",25-34,0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrhythmia",45-54,18,19
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrhythmia",55-64,76,81
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrhythmia",65-74,157,163
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrhythmia",75-84,313,318
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrhythmia",85+,484,493
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrhythmia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cardiac arrhythmia","All Ages",1057,1083
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Heart failure",45-54,23,23
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Heart failure",55-64,62,62
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Heart failure",65-74,179,179
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Heart failure",75-84,307,307
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Heart failure",85+,629,629
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Heart failure","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Heart failure","All Ages",1209,1209
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cerebrovascular diseases",45-54,12,14
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cerebrovascular diseases",55-64,37,41
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cerebrovascular diseases",65-74,114,117
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cerebrovascular diseases",75-84,161,167
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cerebrovascular diseases",85+,241,248
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cerebrovascular diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Cerebrovascular diseases","All Ages",568,590
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Other diseases of the circulatory system",25-34,12,14
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Other diseases of the circulatory system",35-44,31,34
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Other diseases of the circulatory system",45-54,65,81
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Other diseases of the circulatory system",55-64,112,136
2020-01-01,2023-09-23,"By Total",Iowa,"Circulatory diseases","Other diseases of the circulatory system",65-74,196,220
